librechat-1  | Registered tool: PUT::services__java.util.stream.Stream__actions__clearHints__invoke (put-services-java-util-stream-stream-actions-clear-hints-invoke)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__createdByCommand__invoke (get-srvcs-java-util-strm-strm-actns-crtd-by-cmmnd-invk-9c59)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentAuditTrailEntries__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-audit-trail-entrs-54fc)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentCommands__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-cmmnds-invk-90e2)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentExecutions__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-exctns-invk-5275)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId (get-objects-causeway-applib-domain-object-list-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.applib.DomainObjectList__---objectId__actions__clearHints__invoke (put-objcts-cswy-applb-dmn-objct-list-objct-id-actns-clear-h-a6a4)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-crtd-by-fc7d)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-au-5d45)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentCommands__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-cm-70e1)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-ex-6aa1)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__collections__objects (get-objcts-cswy-applb-dmn-objct-list-objct-id-cllctns-objct-f97a)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId (get-objects-causeway-applib-metamodel-inspect-view-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.applib.MetamodelInspectView__---objectId__actions__clearHints__invoke (put-objcts-cswy-applb-mtmdl-inspct-view-objct-id-actns-clea-d282)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-applb-mtmdl-inspct-view-objct-id-actns-crtd-ea1c)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-applb-mtmdl-inspct-view-objct-id-actns-rcnt-b7e1)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId__actions__recentCommands__invoke (get-objcts-cswy-applb-mtmdl-inspct-view-objct-id-actns-rcnt-fbe4)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-applb-mtmdl-inspct-view-objct-id-actns-rcnt-7f9f)
librechat-1  | Registered tool: GET::objects__causeway.applib.RoleMemento__---objectId (get-objects-causeway-applib-role-memento-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.applib.RoleMemento__---objectId__actions__clearHints__invoke (put-objcts-cswy-applb-role-mmnt-objct-id-actns-clear-hints-a4f2)
librechat-1  | Registered tool: GET::objects__causeway.applib.RoleMemento__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-applb-role-mmnt-objct-id-actns-crtd-by-cmmn-adcf)
librechat-1  | Registered tool: GET::objects__causeway.applib.RoleMemento__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-applb-role-mmnt-objct-id-actns-rcnt-audit-t-fc9e)
librechat-1  | Registered tool: GET::objects__causeway.applib.RoleMemento__---objectId__actions__recentCommands__invoke (get-objcts-cswy-applb-role-mmnt-objct-id-actns-rcnt-cmmnds-b7d5)
librechat-1  | Registered tool: GET::objects__causeway.applib.RoleMemento__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-applb-role-mmnt-objct-id-actns-rcnt-exctns-f544)
librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId (get-objects-causeway-applib-usr-memento-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.applib.UserMemento__---objectId__actions__clearHints__invoke (put-objcts-cswy-applb-usr-mmnt-objct-id-actns-clear-hints-i-c9f9)
librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-applb-usr-mmnt-objct-id-actns-crtd-by-cmmnd-42a8)
